date,state,district,pincode,bio_age_5_17,bio_age_17_,district_norm,district_final
01-03-2025,chhattisgarh,Raipur,493116,93,881,raipur,raipur
01-03-2025,chhattisgarh,Raigarh,496111,76,289,raigarh,raigarh
01-03-2025,chhattisgarh,Bilaspur,495115,10,71,bilaspur,bilaspur
01-03-2025,chhattisgarh,Raipur,492010,66,149,raipur,raipur
01-03-2025,chhattisgarh,Raigarh,496116,334,600,raigarh,raigarh
01-03-2025,chhattisgarh,Durg,490001,136,400,durg,durg
01-03-2025,chhattisgarh,Durg,491223,57,387,durg,durg
01-03-2025,chhattisgarh,Raipur,492009,145,430,raipur,raipur
01-03-2025,chhattisgarh,Durg,490024,125,557,durg,durg
01-03-2025,chhattisgarh,Korba,495446,266,350,korba,korba
01-03-2025,chhattisgarh,Bilaspur,495551,331,1720,bilaspur,bilaspur
01-03-2025,chhattisgarh,Bilaspur,495223,41,101,bilaspur,bilaspur
01-03-2025,chhattisgarh,Raipur,492004,44,154,raipur,raipur
01-03-2025,chhattisgarh,Bilaspur,495001,552,1605,bilaspur,bilaspur
01-03-2025,chhattisgarh,Korba,495455,83,19,korba,korba
01-03-2025,chhattisgarh,Bilaspur,495113,108,562,bilaspur,bilaspur
01-03-2025,chhattisgarh,Bilaspur,495449,32,135,bilaspur,bilaspur
01-03-2025,chhattisgarh,Raipur,493221,175,570,raipur,raipur
01-03-2025,chhattisgarh,Raipur,492011,39,112,raipur,raipur
01-03-2025,chhattisgarh,Korba,495453,60,77,korba,korba
01-03-2025,chhattisgarh,Durg,490036,82,504,durg,durg
01-03-2025,chhattisgarh,Raipur,493885,32,201,raipur,raipur
01-03-2025,chhattisgarh,Korba,495452,211,182,korba,korba
01-03-2025,chhattisgarh,Raigarh,496661,223,935,raigarh,raigarh
01-03-2025,chhattisgarh,Durg,490009,15,70,durg,durg
01-03-2025,chhattisgarh,Raigarh,496118,105,189,raigarh,raigarh
01-03-2025,chhattisgarh,Bilaspur,495442,148,730,bilaspur,bilaspur
01-03-2025,chhattisgarh,Bilaspur,495330,104,549,bilaspur,bilaspur
01-03-2025,chhattisgarh,Raigarh,496450,110,434,raigarh,raigarh
01-03-2025,chhattisgarh,Raigarh,496440,78,464,raigarh,raigarh
01-03-2025,chhattisgarh,Raipur,493881,28,77,raipur,raipur
01-03-2025,chhattisgarh,Raigarh,496107,107,463,raigarh,raigarh
01-03-2025,chhattisgarh,Raipur,493441,99,489,raipur,raipur
01-03-2025,chhattisgarh,Raipur,492008,65,203,raipur,raipur
01-03-2025,chhattisgarh,Korba,495683,177,128,korba,korba
01-03-2025,chhattisgarh,Raipur,493225,163,658,raipur,raipur
01-03-2025,chhattisgarh,Raipur,493114,97,198,raipur,raipur
01-03-2025,chhattisgarh,Raigarh,496445,153,481,raigarh,raigarh
01-03-2025,chhattisgarh,Durg,491331,107,768,durg,durg
01-03-2025,chhattisgarh,Bilaspur,495550,119,609,bilaspur,bilaspur
01-03-2025,chhattisgarh,Bilaspur,495559,43,273,bilaspur,bilaspur
01-03-2025,chhattisgarh,Bilaspur,495220,71,158,bilaspur,bilaspur
01-03-2025,chhattisgarh,Raigarh,496113,166,393,raigarh,raigarh
