date,state,district,pincode,bio_age_5_17,bio_age_17_,district_norm,district_final
01-03-2025,maharashtra,Nagpur,440012,38,106,nagpur,nagpur
01-03-2025,maharashtra,Mumbai Suburban,400052,58,68,mumbai suburban,mumbai suburban
01-03-2025,maharashtra,Nashik,422222,50,129,nashik,nashik
01-03-2025,maharashtra,Pune,412408,105,77,pune,pune
01-03-2025,maharashtra,Nagpur,440014,186,589,nagpur,nagpur
01-03-2025,maharashtra,Thane,421004,168,509,thane,thane
01-03-2025,maharashtra,Nagpur,440035,367,735,nagpur,nagpur
01-03-2025,maharashtra,Pune,411038,271,578,pune,pune
01-03-2025,maharashtra,Pune,411060,101,160,pune,pune
01-03-2025,maharashtra,Pune,411012,94,214,pune,pune
01-03-2025,maharashtra,Nagpur,441106,656,1503,nagpur,nagpur
01-03-2025,maharashtra,Pune,411025,30,58,pune,pune
01-03-2025,maharashtra,Nagpur,440002,265,715,nagpur,nagpur
01-03-2025,maharashtra,Pune,413801,431,628,pune,pune
01-03-2025,maharashtra,Mumbai Suburban,400072,441,437,mumbai suburban,mumbai suburban
01-03-2025,maharashtra,Thane,401102,21,313,thane,thane
01-03-2025,maharashtra,Thane,401106,59,130,thane,thane
01-03-2025,maharashtra,Pune,412115,122,187,pune,pune
01-03-2025,maharashtra,Pune,412409,166,469,pune,pune
01-03-2025,maharashtra,Nagpur,441303,86,103,nagpur,nagpur
01-03-2025,maharashtra,Nagpur,441111,302,539,nagpur,nagpur
01-03-2025,maharashtra,Nagpur,440016,162,322,nagpur,nagpur
01-03-2025,maharashtra,Thane,401606,38,453,thane,thane
01-03-2025,maharashtra,Mumbai Suburban,400088,163,154,mumbai suburban,mumbai suburban
01-03-2025,maharashtra,Thane,401303,31,344,thane,thane
01-03-2025,maharashtra,Mumbai Suburban,400082,27,25,mumbai suburban,mumbai suburban
01-03-2025,maharashtra,Mumbai Suburban,400091,35,70,mumbai suburban,mumbai suburban
01-03-2025,maharashtra,Thane,421101,123,147,thane,thane
01-03-2025,maharashtra,Pune,410406,32,112,pune,pune
01-03-2025,maharashtra,Mumbai Suburban,400084,75,91,mumbai suburban,mumbai suburban
01-03-2025,maharashtra,Pune,411032,62,111,pune,pune
01-03-2025,maharashtra,Mumbai Suburban,400081,71,69,mumbai suburban,mumbai suburban
01-03-2025,maharashtra,Pune,411002,170,473,pune,pune
01-03-2025,maharashtra,Mumbai Suburban,400051,188,215,mumbai suburban,mumbai suburban
01-03-2025,maharashtra,Nashik,423401,836,1145,nashik,nashik
01-03-2025,maharashtra,Thane,400705,156,482,thane,thane
01-03-2025,maharashtra,Thane,421311,52,131,thane,thane
01-03-2025,maharashtra,Thane,421203,95,227,thane,thane
01-03-2025,maharashtra,Pune,411017,337,743,pune,pune
01-03-2025,maharashtra,Nagpur,440017,261,821,nagpur,nagpur
01-03-2025,maharashtra,Pune,411016,169,271,pune,pune
01-03-2025,maharashtra,Mumbai Suburban,400043,605,615,mumbai suburban,mumbai suburban
01-03-2025,maharashtra,Nashik,423102,519,469,nashik,nashik
01-03-2025,maharashtra,Pune,413110,237,198,pune,pune
01-03-2025,maharashtra,Pune,411044,228,489,pune,pune
01-03-2025,maharashtra,Nashik,422302,79,180,nashik,nashik
01-03-2025,maharashtra,Pune,412114,277,444,pune,pune
01-03-2025,maharashtra,Nashik,422112,23,45,nashik,nashik
01-03-2025,maharashtra,Thane,401305,54,512,thane,thane
01-03-2025,maharashtra,Thane,400614,103,238,thane,thane
01-03-2025,maharashtra,Pune,412110,96,101,pune,pune
01-03-2025,maharashtra,Nashik,422211,326,1352,nashik,nashik
01-03-2025,maharashtra,Nashik,422306,246,452,nashik,nashik
01-03-2025,maharashtra,Pune,412304,77,84,pune,pune
01-03-2025,maharashtra,Pune,410512,86,110,pune,pune
01-03-2025,maharashtra,Pune,412220,78,40,pune,pune
