date,state,district,pincode,bio_age_5_17,bio_age_17_,district_norm,district_final
01-03-2025,rajasthan,Jodhpur,342901,181,185,jodhpur,jodhpur
01-03-2025,rajasthan,Kota,324004,170,252,kota,kota
01-03-2025,rajasthan,Udaipur,313603,210,325,udaipur,udaipur
01-03-2025,rajasthan,Bikaner,334003,43,109,bikaner,bikaner
01-03-2025,rajasthan,Jaipur,303002,153,181,jaipur,jaipur
01-03-2025,rajasthan,Jodhpur,342605,191,246,jodhpur,jodhpur
01-03-2025,rajasthan,Jaipur,302028,345,544,jaipur,jaipur
01-03-2025,rajasthan,Jaipur,303603,337,550,jaipur,jaipur
01-03-2025,rajasthan,Jaipur,302002,426,772,jaipur,jaipur
01-03-2025,rajasthan,Udaipur,313024,141,181,udaipur,udaipur
01-03-2025,rajasthan,Bikaner,334201,103,154,bikaner,bikaner
01-03-2025,rajasthan,Jaipur,303302,131,143,jaipur,jaipur
01-03-2025,rajasthan,Jodhpur,342007,102,151,jodhpur,jodhpur
01-03-2025,rajasthan,Jodhpur,342024,226,289,jodhpur,jodhpur
01-03-2025,rajasthan,Jodhpur,342008,255,451,jodhpur,jodhpur
01-03-2025,rajasthan,Udaipur,313011,289,409,udaipur,udaipur
01-03-2025,rajasthan,Jodhpur,342027,459,748,jodhpur,jodhpur
01-03-2025,rajasthan,Jodhpur,342307,254,177,jodhpur,jodhpur
01-03-2025,rajasthan,Kota,325208,46,51,kota,kota
01-03-2025,rajasthan,Bikaner,334021,152,218,bikaner,bikaner
01-03-2025,rajasthan,Jaipur,303001,152,212,jaipur,jaipur
01-03-2025,rajasthan,Jaipur,303106,253,276,jaipur,jaipur
01-03-2025,rajasthan,Jaipur,302031,295,504,jaipur,jaipur
01-03-2025,rajasthan,Jodhpur,342603,227,315,jodhpur,jodhpur
01-03-2025,rajasthan,Kota,324006,144,234,kota,kota
01-03-2025,rajasthan,Jaipur,303903,127,245,jaipur,jaipur
01-03-2025,rajasthan,Jaipur,302018,119,269,jaipur,jaipur
01-03-2025,rajasthan,Kota,324001,252,460,kota,kota
01-03-2025,rajasthan,Kota,326501,15,15,kota,kota
01-03-2025,rajasthan,Jodhpur,342604,56,80,jodhpur,jodhpur
01-03-2025,rajasthan,Jaipur,302016,345,655,jaipur,jaipur
01-03-2025,rajasthan,Kota,325001,212,313,kota,kota
01-03-2025,rajasthan,Bikaner,334004,151,337,bikaner,bikaner
