date,state,district,pincode,bio_age_5_17,bio_age_17_,district_norm,district_final
01-03-2025,tamil nadu,Madurai,625514,271,815,madurai,madurai
01-03-2025,tamil nadu,Salem,636119,103,63,salem,salem
01-03-2025,tamil nadu,Coimbatore,642104,55,55,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636008,410,430,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,621014,73,65,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,636105,490,169,salem,salem
01-03-2025,tamil nadu,Chennai,600007,114,152,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,642127,214,113,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641027,134,255,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636457,149,56,salem,salem
01-03-2025,tamil nadu,Coimbatore,642123,83,61,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641008,324,624,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,621003,123,140,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641002,77,243,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641031,78,351,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636401,219,67,salem,salem
01-03-2025,tamil nadu,Salem,637107,188,55,salem,salem
01-03-2025,tamil nadu,Salem,637502,377,257,salem,salem
01-03-2025,tamil nadu,Salem,636014,229,80,salem,salem
01-03-2025,tamil nadu,Madurai,625703,107,398,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,642003,80,103,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625201,141,163,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,641101,270,268,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,621601,74,204,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,636102,104,178,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,621703,54,145,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641037,54,128,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641032,55,129,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641011,13,64,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641038,53,176,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,621706,32,99,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600020,178,198,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,641034,40,76,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641104,158,186,coimbatore,coimbatore
01-03-2025,tamil nadu,Chennai,600119,79,60,chennai,chennai
01-03-2025,tamil nadu,Salem,636406,46,6,salem,salem
01-03-2025,tamil nadu,Salem,636202,97,62,salem,salem
01-03-2025,tamil nadu,Chennai,600040,155,318,chennai,chennai
01-03-2025,tamil nadu,Salem,636121,349,217,salem,salem
01-03-2025,tamil nadu,Coimbatore,641111,87,226,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,642005,178,112,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625535,520,498,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,642004,199,82,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636002,281,445,salem,salem
01-03-2025,tamil nadu,Chennai,600030,115,205,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,621311,16,12,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,637301,217,299,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,639112,26,64,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Coimbatore,641007,119,299,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636112,399,302,salem,salem
01-03-2025,tamil nadu,Coimbatore,641045,210,697,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,621010,93,206,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600031,58,99,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,642124,15,19,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641062,112,367,coimbatore,coimbatore
01-03-2025,tamil nadu,Coimbatore,641044,28,73,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625301,155,250,madurai,madurai
01-03-2025,tamil nadu,Coimbatore,642110,77,101,coimbatore,coimbatore
01-03-2025,tamil nadu,Salem,636455,398,192,salem,salem
01-03-2025,tamil nadu,Chennai,600097,98,67,chennai,chennai
01-03-2025,tamil nadu,Chennai,600091,78,65,chennai,chennai
01-03-2025,tamil nadu,Tiruchirappalli,621217,62,89,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Chennai,600026,87,217,chennai,chennai
01-03-2025,tamil nadu,Coimbatore,641663,21,9,coimbatore,coimbatore
01-03-2025,tamil nadu,Madurai,625207,154,157,madurai,madurai
01-03-2025,tamil nadu,Salem,636456,65,24,salem,salem
01-03-2025,tamil nadu,Salem,636006,524,671,salem,salem
01-03-2025,tamil nadu,Tiruchirappalli,620017,347,446,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Tiruchirappalli,620025,106,278,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,636101,195,300,salem,salem
01-03-2025,tamil nadu,Coimbatore,641050,27,12,coimbatore,coimbatore
01-03-2025,tamil nadu,Tiruchirappalli,621208,56,82,tiruchirappalli,tiruchirappalli
01-03-2025,tamil nadu,Salem,636309,363,375,salem,salem
01-03-2025,tamil nadu,Coimbatore,641039,64,162,coimbatore,coimbatore
