date,state,district,pincode,bio_age_5_17,bio_age_17_,district_norm,district_final
01-03-2025,uttar pradesh,Lucknow,226012,232,252,lucknow,lucknow
01-03-2025,uttar pradesh,Lucknow,226030,10,24,lucknow,lucknow
01-03-2025,uttar pradesh,Allahabad,221507,262,174,allahabad,prayagraj
01-03-2025,uttar pradesh,Gorakhpur,273209,582,689,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Varanasi,221006,34,28,varanasi,varanasi
01-03-2025,uttar pradesh,Allahabad,211010,66,31,allahabad,prayagraj
01-03-2025,uttar pradesh,Lucknow,226020,560,442,lucknow,lucknow
01-03-2025,uttar pradesh,Kanpur Nagar,208020,180,218,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Allahabad,211006,208,175,allahabad,prayagraj
01-03-2025,uttar pradesh,Lucknow,226011,165,154,lucknow,lucknow
01-03-2025,uttar pradesh,Varanasi,221107,310,351,varanasi,varanasi
01-03-2025,uttar pradesh,Varanasi,221204,287,151,varanasi,varanasi
01-03-2025,uttar pradesh,Kanpur Nagar,208016,119,88,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Varanasi,221201,219,118,varanasi,varanasi
01-03-2025,uttar pradesh,Varanasi,221112,154,74,varanasi,varanasi
01-03-2025,uttar pradesh,Gorakhpur,273409,94,139,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Lucknow,226022,269,263,lucknow,lucknow
01-03-2025,uttar pradesh,Lucknow,226014,15,23,lucknow,lucknow
01-03-2025,uttar pradesh,Kanpur Nagar,209217,179,113,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Gorakhpur,273412,209,288,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Kanpur Nagar,209205,165,73,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Lucknow,226025,85,125,lucknow,lucknow
01-03-2025,uttar pradesh,Varanasi,221202,349,198,varanasi,varanasi
01-03-2025,uttar pradesh,Varanasi,221116,97,50,varanasi,varanasi
01-03-2025,uttar pradesh,Varanasi,221307,400,288,varanasi,varanasi
01-03-2025,uttar pradesh,Prayagraj,211006,15,17,prayagraj,prayagraj
01-03-2025,uttar pradesh,Allahabad,212507,747,269,allahabad,prayagraj
01-03-2025,uttar pradesh,Prayagraj,212303,35,31,prayagraj,prayagraj
01-03-2025,uttar pradesh,Lucknow,226007,73,44,lucknow,lucknow
01-03-2025,uttar pradesh,Allahabad,211003,696,454,allahabad,prayagraj
01-03-2025,uttar pradesh,Gorakhpur,273006,48,52,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Prayagraj,211011,47,40,prayagraj,prayagraj
01-03-2025,uttar pradesh,Kanpur Nagar,209214,293,245,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Lucknow,226009,22,26,lucknow,lucknow
01-03-2025,uttar pradesh,Varanasi,221101,607,364,varanasi,varanasi
01-03-2025,uttar pradesh,Gorakhpur,273413,319,452,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Varanasi,221208,405,183,varanasi,varanasi
01-03-2025,uttar pradesh,Allahabad,212104,798,220,allahabad,prayagraj
01-03-2025,uttar pradesh,Kanpur Nagar,208027,418,439,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Kanpur Nagar,208002,310,353,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Prayagraj,221502,15,27,prayagraj,prayagraj
01-03-2025,uttar pradesh,Kanpur Nagar,208026,12,22,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Prayagraj,212502,23,65,prayagraj,prayagraj
01-03-2025,uttar pradesh,Varanasi,221005,263,399,varanasi,varanasi
01-03-2025,uttar pradesh,Lucknow,226010,364,487,lucknow,lucknow
01-03-2025,uttar pradesh,Allahabad,211007,22,24,allahabad,prayagraj
01-03-2025,uttar pradesh,Kanpur Nagar,208013,111,179,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Varanasi,221206,312,127,varanasi,varanasi
01-03-2025,uttar pradesh,Gorakhpur,273003,22,56,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Allahabad,212301,766,365,allahabad,prayagraj
01-03-2025,uttar pradesh,Gorakhpur,273408,163,245,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Gorakhpur,273002,249,270,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Lucknow,226026,132,83,lucknow,lucknow
01-03-2025,uttar pradesh,Prayagraj,212208,16,20,prayagraj,prayagraj
01-03-2025,uttar pradesh,Prayagraj,211004,33,21,prayagraj,prayagraj
01-03-2025,uttar pradesh,Kanpur Nagar,208014,214,290,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Allahabad,211012,317,164,allahabad,prayagraj
01-03-2025,uttar pradesh,Allahabad,211019,292,239,allahabad,prayagraj
01-03-2025,uttar pradesh,Lucknow,226401,156,41,lucknow,lucknow
01-03-2025,uttar pradesh,Lucknow,226002,556,627,lucknow,lucknow
01-03-2025,uttar pradesh,Gorakhpur,273013,242,356,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Gorakhpur,273402,297,433,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Varanasi,221001,1199,1106,varanasi,varanasi
01-03-2025,uttar pradesh,Gorakhpur,273005,109,202,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Prayagraj,211002,42,31,prayagraj,prayagraj
01-03-2025,uttar pradesh,Kanpur Nagar,208019,232,233,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Varanasi,221007,607,473,varanasi,varanasi
01-03-2025,uttar pradesh,Kanpur Nagar,209305,89,51,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Lucknow,227116,378,104,lucknow,lucknow
01-03-2025,uttar pradesh,Varanasi,221011,238,254,varanasi,varanasi
01-03-2025,uttar pradesh,Kanpur Nagar,209210,353,139,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Allahabad,221505,461,235,allahabad,prayagraj
01-03-2025,uttar pradesh,Lucknow,227205,365,258,lucknow,lucknow
01-03-2025,uttar pradesh,Gorakhpur,273001,309,642,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Varanasi,221002,445,650,varanasi,varanasi
01-03-2025,uttar pradesh,Lucknow,226004,390,310,lucknow,lucknow
01-03-2025,uttar pradesh,Varanasi,221403,372,249,varanasi,varanasi
01-03-2025,uttar pradesh,Allahabad,212305,417,117,allahabad,prayagraj
01-03-2025,uttar pradesh,Gorakhpur,273008,151,326,gorakhpur,gorakhpur
01-03-2025,uttar pradesh,Allahabad,221503,740,301,allahabad,prayagraj
01-03-2025,uttar pradesh,Kanpur Nagar,209203,194,82,kanpur nagar,kanpur nagar
01-03-2025,uttar pradesh,Allahabad,229412,413,129,allahabad,prayagraj
01-03-2025,uttar pradesh,Prayagraj,212305,16,11,prayagraj,prayagraj
01-03-2025,uttar pradesh,Lucknow,226005,242,260,lucknow,lucknow
01-03-2025,uttar pradesh,Lucknow,227125,186,266,lucknow,lucknow
01-03-2025,uttar pradesh,Allahabad,211011,324,248,allahabad,prayagraj
01-03-2025,uttar pradesh,Prayagraj,212306,31,98,prayagraj,prayagraj
