date,state,district,pincode,demo_age_5_17,demo_age_17_,district_norm,district_final
25-11-2025,chhattisgarh,Bilaspur,495112,0,10,bilaspur,bilaspur
25-11-2025,chhattisgarh,Bilaspur,495117,0,12,bilaspur,bilaspur
25-11-2025,chhattisgarh,Bilaspur,495220,0,4,bilaspur,bilaspur
25-11-2025,chhattisgarh,Bilaspur,495224,1,24,bilaspur,bilaspur
25-11-2025,chhattisgarh,Durg,490011,3,3,durg,durg
25-11-2025,chhattisgarh,Durg,490023,4,10,durg,durg
25-11-2025,chhattisgarh,Durg,491221,1,9,durg,durg
25-11-2025,chhattisgarh,Durg,491227,0,1,durg,durg
25-11-2025,chhattisgarh,Durg,491228,0,4,durg,durg
25-11-2025,chhattisgarh,Durg,491331,1,11,durg,durg
25-11-2025,chhattisgarh,Korba,495683,0,6,korba,korba
25-11-2025,chhattisgarh,Raigarh,496445,0,8,raigarh,raigarh
25-11-2025,chhattisgarh,Raigarh,496554,1,14,raigarh,raigarh
25-11-2025,chhattisgarh,Raipur,492001,3,43,raipur,raipur
25-11-2025,chhattisgarh,Raipur,492003,0,1,raipur,raipur
25-11-2025,chhattisgarh,Raipur,492014,1,7,raipur,raipur
25-11-2025,chhattisgarh,Raipur,493113,0,1,raipur,raipur
25-11-2025,chhattisgarh,Raipur,493885,0,9,raipur,raipur
25-11-2025,chhattisgarh,Raipur,493992,1,3,raipur,raipur
20-12-2025,chhattisgarh,Bilaspur,495009,1,9,bilaspur,bilaspur
20-12-2025,chhattisgarh,Bilaspur,495116,7,15,bilaspur,bilaspur
20-12-2025,chhattisgarh,Bilaspur,495117,2,30,bilaspur,bilaspur
20-12-2025,chhattisgarh,Bilaspur,495222,0,5,bilaspur,bilaspur
20-12-2025,chhattisgarh,Bilaspur,495442,5,13,bilaspur,bilaspur
20-12-2025,chhattisgarh,Bilaspur,495449,4,14,bilaspur,bilaspur
20-12-2025,chhattisgarh,Durg,490009,1,1,durg,durg
20-12-2025,chhattisgarh,Durg,490011,1,5,durg,durg
20-12-2025,chhattisgarh,Durg,490022,4,2,durg,durg
20-12-2025,chhattisgarh,Durg,490023,4,29,durg,durg
20-12-2025,chhattisgarh,Durg,490024,2,13,durg,durg
20-12-2025,chhattisgarh,Durg,491111,5,19,durg,durg
20-12-2025,chhattisgarh,Durg,491221,2,13,durg,durg
20-12-2025,chhattisgarh,Durg,491226,0,3,durg,durg
20-12-2025,chhattisgarh,Durg,491332,1,1,durg,durg
20-12-2025,chhattisgarh,Korba,495446,3,18,korba,korba
20-12-2025,chhattisgarh,Korba,495454,1,18,korba,korba
20-12-2025,chhattisgarh,Korba,495678,1,1,korba,korba
20-12-2025,chhattisgarh,Raigarh,496220,0,1,raigarh,raigarh
20-12-2025,chhattisgarh,Raigarh,496551,3,75,raigarh,raigarh
20-12-2025,chhattisgarh,Raigarh,496554,3,36,raigarh,raigarh
