date,state,district,pincode,demo_age_5_17,demo_age_17_,district_norm,district_final
16-12-2025,maharashtra,Mumbai Suburban,400054,0,12,mumbai suburban,mumbai suburban
16-12-2025,maharashtra,Mumbai Suburban,400066,2,18,mumbai suburban,mumbai suburban
16-12-2025,maharashtra,Mumbai Suburban,400070,6,31,mumbai suburban,mumbai suburban
16-12-2025,maharashtra,Mumbai Suburban,400071,4,16,mumbai suburban,mumbai suburban
16-12-2025,maharashtra,Mumbai Suburban,400076,1,9,mumbai suburban,mumbai suburban
16-12-2025,maharashtra,Mumbai Suburban,400089,1,12,mumbai suburban,mumbai suburban
16-12-2025,maharashtra,Mumbai Suburban,400103,0,16,mumbai suburban,mumbai suburban
16-12-2025,maharashtra,Mumbai( Sub Urban ),400043,0,1,mumbai sub urban,mumbai suburban
16-12-2025,maharashtra,Mumbai( Sub Urban ),400064,0,2,mumbai sub urban,mumbai suburban
16-12-2025,maharashtra,Mumbai( Sub Urban ),400074,0,1,mumbai sub urban,mumbai suburban
16-12-2025,maharashtra,Nagpur,440001,0,3,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,440008,4,42,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,440013,3,24,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,440015,2,9,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,440023,3,34,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,440024,2,39,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,440025,1,5,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,441002,2,12,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,441101,0,13,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,441102,1,11,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,441108,4,30,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,441109,0,1,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,441113,1,9,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,441210,0,8,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,441302,1,9,nagpur,nagpur
16-12-2025,maharashtra,Nagpur,441305,0,9,nagpur,nagpur
16-12-2025,maharashtra,Nashik,422003,10,65,nashik,nashik
16-12-2025,maharashtra,Nashik,422011,1,12,nashik,nashik
16-12-2025,maharashtra,Nashik,422103,3,76,nashik,nashik
16-12-2025,maharashtra,Nashik,422202,0,18,nashik,nashik
16-12-2025,maharashtra,Nashik,422209,5,28,nashik,nashik
16-12-2025,maharashtra,Nashik,422301,0,1,nashik,nashik
16-12-2025,maharashtra,Nashik,422302,1,6,nashik,nashik
16-12-2025,maharashtra,Nashik,422303,2,24,nashik,nashik
16-12-2025,maharashtra,Nashik,422401,1,15,nashik,nashik
16-12-2025,maharashtra,Nashik,422502,1,19,nashik,nashik
16-12-2025,maharashtra,Nashik,423111,0,9,nashik,nashik
16-12-2025,maharashtra,Nashik,423213,0,9,nashik,nashik
16-12-2025,maharashtra,Nashik,424109,1,24,nashik,nashik
16-12-2025,maharashtra,Pune,410405,2,15,pune,pune
16-12-2025,maharashtra,Pune,410505,2,57,pune,pune
16-12-2025,maharashtra,Pune,410513,0,14,pune,pune
16-12-2025,maharashtra,Pune,411018,2,23,pune,pune
16-12-2025,maharashtra,Pune,411026,1,7,pune,pune
16-12-2025,maharashtra,Pune,411031,0,3,pune,pune
16-12-2025,maharashtra,Pune,411032,1,11,pune,pune
16-12-2025,maharashtra,Pune,411036,2,30,pune,pune
16-12-2025,maharashtra,Pune,411037,2,41,pune,pune
16-12-2025,maharashtra,Pune,411039,3,33,pune,pune
16-12-2025,maharashtra,Pune,411061,0,14,pune,pune
16-12-2025,maharashtra,Pune,411068,0,4,pune,pune
16-12-2025,maharashtra,Pune,412103,0,8,pune,pune
16-12-2025,maharashtra,Pune,412110,1,13,pune,pune
16-12-2025,maharashtra,Pune,412114,1,23,pune,pune
16-12-2025,maharashtra,Pune,412206,0,56,pune,pune
16-12-2025,maharashtra,Pune,412210,3,42,pune,pune
16-12-2025,maharashtra,Pune,412211,1,44,pune,pune
16-12-2025,maharashtra,Pune,412215,0,11,pune,pune
16-12-2025,maharashtra,Pune,412216,1,47,pune,pune
16-12-2025,maharashtra,Pune,412220,0,2,pune,pune
16-12-2025,maharashtra,Pune,412301,1,15,pune,pune
16-12-2025,maharashtra,Pune,412303,0,18,pune,pune
16-12-2025,maharashtra,Pune,412308,4,35,pune,pune
16-12-2025,maharashtra,Pune,412402,0,14,pune,pune
16-12-2025,maharashtra,Pune,412406,0,5,pune,pune
16-12-2025,maharashtra,Pune,413132,1,16,pune,pune
16-12-2025,maharashtra,Thane,400612,25,157,thane,thane
16-12-2025,maharashtra,Thane,400703,5,25,thane,thane
16-12-2025,maharashtra,Thane,400705,5,25,thane,thane
16-12-2025,maharashtra,Thane,401107,9,139,thane,thane
16-12-2025,maharashtra,Thane,401202,0,16,thane,thane
16-12-2025,maharashtra,Thane,401303,0,16,thane,thane
16-12-2025,maharashtra,Thane,401501,0,25,thane,thane
16-12-2025,maharashtra,Thane,401602,2,36,thane,thane
16-12-2025,maharashtra,Thane,401603,0,24,thane,thane
16-12-2025,maharashtra,Thane,421001,3,25,thane,thane
16-12-2025,maharashtra,Thane,421002,9,43,thane,thane
16-12-2025,maharashtra,Thane,421003,0,4,thane,thane
16-12-2025,maharashtra,Thane,421101,3,10,thane,thane
16-12-2025,maharashtra,Thane,421201,10,51,thane,thane
16-12-2025,maharashtra,Thane,421202,5,60,thane,thane
16-12-2025,maharashtra,Thane,421203,2,11,thane,thane
16-12-2025,maharashtra,Thane,421301,8,130,thane,thane
16-12-2025,maharashtra,Thane,421502,0,2,thane,thane
16-12-2025,maharashtra,Thane,421605,2,25,thane,thane
20-12-2025,maharashtra,Mumbai Suburban,400049,1,4,mumbai suburban,mumbai suburban
20-12-2025,maharashtra,Mumbai Suburban,400060,3,19,mumbai suburban,mumbai suburban
20-12-2025,maharashtra,Mumbai Suburban,400064,0,20,mumbai suburban,mumbai suburban
20-12-2025,maharashtra,Mumbai Suburban,400065,2,15,mumbai suburban,mumbai suburban
20-12-2025,maharashtra,Mumbai Suburban,400067,6,65,mumbai suburban,mumbai suburban
20-12-2025,maharashtra,Mumbai Suburban,400075,3,36,mumbai suburban,mumbai suburban
20-12-2025,maharashtra,Mumbai Suburban,400081,3,11,mumbai suburban,mumbai suburban
20-12-2025,maharashtra,Mumbai Suburban,400084,0,5,mumbai suburban,mumbai suburban
