date,state,district,pincode,demo_age_5_17,demo_age_17_,district_norm,district_final
16-12-2025,rajasthan,Bikaner,334303,0,10,bikaner,bikaner
16-12-2025,rajasthan,Bikaner,334601,0,1,bikaner,bikaner
16-12-2025,rajasthan,Jaipur,302001,2,33,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,302003,11,55,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,302013,1,31,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,302016,2,70,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,302017,3,48,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,302023,0,4,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,302027,3,28,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,302032,0,4,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,302039,4,35,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,303003,4,11,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,303006,2,10,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,303008,6,30,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,303105,5,15,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,303108,8,35,jaipur,jaipur
16-12-2025,rajasthan,Jaipur,303604,2,20,jaipur,jaipur
20-12-2025,rajasthan,Bikaner,331801,2,5,bikaner,bikaner
20-12-2025,rajasthan,Bikaner,334006,0,1,bikaner,bikaner
20-12-2025,rajasthan,Bikaner,334022,4,7,bikaner,bikaner
20-12-2025,rajasthan,Bikaner,334023,4,19,bikaner,bikaner
20-12-2025,rajasthan,Bikaner,334302,4,10,bikaner,bikaner
20-12-2025,rajasthan,Bikaner,334305,2,11,bikaner,bikaner
20-12-2025,rajasthan,Bikaner,334803,10,41,bikaner,bikaner
20-12-2025,rajasthan,Jaipur,302005,0,2,jaipur,jaipur
20-12-2025,rajasthan,Jaipur,302016,5,77,jaipur,jaipur
20-12-2025,rajasthan,Jaipur,302020,4,60,jaipur,jaipur
20-12-2025,rajasthan,Jaipur,302037,1,1,jaipur,jaipur
20-12-2025,rajasthan,Jaipur,302039,7,30,jaipur,jaipur
20-12-2025,rajasthan,Jaipur,303004,0,2,jaipur,jaipur
20-12-2025,rajasthan,Jaipur,303007,0,15,jaipur,jaipur
