date,state,district,pincode,demo_age_5_17,demo_age_17_,district_norm,district_final
20-12-2025,tamil nadu,Salem,636203,3,6,salem,salem
20-12-2025,tamil nadu,Salem,636306,3,7,salem,salem
20-12-2025,tamil nadu,Salem,636455,2,6,salem,salem
20-12-2025,tamil nadu,Salem,636458,0,3,salem,salem
20-12-2025,tamil nadu,Salem,636602,0,4,salem,salem
20-12-2025,tamil nadu,Salem,637103,0,8,salem,salem
20-12-2025,tamil nadu,Salem,637104,0,4,salem,salem
20-12-2025,tamil nadu,Salem,637107,1,0,salem,salem
20-12-2025,tamil nadu,Salem,637304,2,0,salem,salem
20-12-2025,tamil nadu,Tiruchirappalli,620012,1,7,tiruchirappalli,tiruchirappalli
20-12-2025,tamil nadu,Tiruchirappalli,620014,0,4,tiruchirappalli,tiruchirappalli
20-12-2025,tamil nadu,Tiruchirappalli,621003,0,9,tiruchirappalli,tiruchirappalli
20-12-2025,tamil nadu,Tiruchirappalli,621011,0,2,tiruchirappalli,tiruchirappalli
20-12-2025,tamil nadu,Tiruchirappalli,621105,0,4,tiruchirappalli,tiruchirappalli
20-12-2025,tamil nadu,Tiruchirappalli,621218,2,1,tiruchirappalli,tiruchirappalli
20-12-2025,tamil nadu,Tiruchirappalli,621306,3,8,tiruchirappalli,tiruchirappalli
20-12-2025,tamil nadu,Tiruchirappalli,621307,0,6,tiruchirappalli,tiruchirappalli
20-12-2025,tamil nadu,Tiruchirappalli,621653,2,1,tiruchirappalli,tiruchirappalli
20-12-2025,tamil nadu,Tiruchirappalli,622102,0,1,tiruchirappalli,tiruchirappalli
20-12-2025,tamil nadu,Tiruchirappalli,639103,0,2,tiruchirappalli,tiruchirappalli
20-12-2025,tamil nadu,Chennai,600002,2,18,chennai,chennai
20-12-2025,tamil nadu,Chennai,600003,0,3,chennai,chennai
20-12-2025,tamil nadu,Chennai,600004,2,26,chennai,chennai
20-12-2025,tamil nadu,Chennai,600005,3,15,chennai,chennai
20-12-2025,tamil nadu,Chennai,600006,0,4,chennai,chennai
20-12-2025,tamil nadu,Chennai,600007,1,10,chennai,chennai
20-12-2025,tamil nadu,Chennai,600013,1,10,chennai,chennai
20-12-2025,tamil nadu,Chennai,600014,0,14,chennai,chennai
20-12-2025,tamil nadu,Chennai,600021,2,31,chennai,chennai
20-12-2025,tamil nadu,Chennai,600024,3,20,chennai,chennai
20-12-2025,tamil nadu,Chennai,600029,0,7,chennai,chennai
20-12-2025,tamil nadu,Chennai,600037,0,4,chennai,chennai
20-12-2025,tamil nadu,Chennai,600092,3,16,chennai,chennai
20-12-2025,tamil nadu,Chennai,600116,2,5,chennai,chennai
20-12-2025,tamil nadu,Chennai,600118,3,32,chennai,chennai
20-12-2025,tamil nadu,Coimbatore,641009,0,1,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,641012,0,2,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,641015,0,8,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,641026,0,8,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,641030,1,6,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,641032,0,5,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,641041,2,6,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,641101,0,7,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,641301,1,12,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,641305,1,4,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,641668,0,7,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,641671,0,6,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,642002,2,13,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,642104,1,6,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,642107,0,5,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,642120,3,9,coimbatore,coimbatore
20-12-2025,tamil nadu,Coimbatore,642123,1,2,coimbatore,coimbatore
20-12-2025,tamil nadu,Madurai,625002,1,11,madurai,madurai
20-12-2025,tamil nadu,Madurai,625005,4,11,madurai,madurai
20-12-2025,tamil nadu,Madurai,625014,4,11,madurai,madurai
20-12-2025,tamil nadu,Madurai,625017,3,13,madurai,madurai
20-12-2025,tamil nadu,Madurai,625020,3,15,madurai,madurai
20-12-2025,tamil nadu,Madurai,625106,3,16,madurai,madurai
20-12-2025,tamil nadu,Madurai,625107,5,10,madurai,madurai
20-12-2025,tamil nadu,Madurai,625108,0,1,madurai,madurai
20-12-2025,tamil nadu,Madurai,625214,0,4,madurai,madurai
20-12-2025,tamil nadu,Madurai,625514,0,7,madurai,madurai
20-12-2025,tamil nadu,Madurai,625527,0,2,madurai,madurai
20-12-2025,tamil nadu,Madurai,625707,0,3,madurai,madurai
20-12-2025,tamil nadu,Salem,636001,0,6,salem,salem
20-12-2025,tamil nadu,Salem,636006,0,16,salem,salem
20-12-2025,tamil nadu,Salem,636012,0,10,salem,salem
20-12-2025,tamil nadu,Salem,636014,0,1,salem,salem
20-12-2025,tamil nadu,Salem,636105,3,6,salem,salem
20-12-2025,tamil nadu,Salem,636109,2,1,salem,salem
20-12-2025,tamil nadu,Salem,636113,1,5,salem,salem
20-12-2025,tamil nadu,Salem,636117,1,5,salem,salem
27-11-2025,tamil nadu,Chennai,600008,1,5,chennai,chennai
27-11-2025,tamil nadu,Chennai,600009,0,1,chennai,chennai
27-11-2025,tamil nadu,Chennai,600012,13,119,chennai,chennai
27-11-2025,tamil nadu,Chennai,600017,4,38,chennai,chennai
27-11-2025,tamil nadu,Chennai,600023,2,36,chennai,chennai
27-11-2025,tamil nadu,Chennai,600028,0,28,chennai,chennai
27-11-2025,tamil nadu,Chennai,600030,1,7,chennai,chennai
27-11-2025,tamil nadu,Chennai,600057,0,3,chennai,chennai
27-11-2025,tamil nadu,Chennai,600058,0,1,chennai,chennai
27-11-2025,tamil nadu,Chennai,600078,2,65,chennai,chennai
27-11-2025,tamil nadu,Chennai,600087,0,7,chennai,chennai
27-11-2025,tamil nadu,Chennai,600117,0,4,chennai,chennai
27-11-2025,tamil nadu,Chennai,600118,8,82,chennai,chennai
27-11-2025,tamil nadu,Chennai,600119,3,18,chennai,chennai
27-11-2025,tamil nadu,Coimbatore,641003,0,3,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641004,1,26,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641007,3,21,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641008,6,51,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641014,5,16,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641017,0,6,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641024,2,11,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641029,3,12,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641032,2,15,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641037,0,5,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641038,1,9,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641039,0,13,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641041,1,20,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641046,2,9,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641050,3,4,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641105,3,14,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641107,5,27,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641202,0,3,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641401,2,10,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641653,1,21,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641658,0,1,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,641669,0,8,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,642005,1,17,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,642120,2,15,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,642123,1,8,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,642130,0,2,coimbatore,coimbatore
27-11-2025,tamil nadu,Coimbatore,642133,1,2,coimbatore,coimbatore
27-11-2025,tamil nadu,Madurai,625001,6,41,madurai,madurai
27-11-2025,tamil nadu,Madurai,625003,3,27,madurai,madurai
27-11-2025,tamil nadu,Madurai,625020,15,62,madurai,madurai
27-11-2025,tamil nadu,Madurai,625103,1,15,madurai,madurai
27-11-2025,tamil nadu,Madurai,625109,2,11,madurai,madurai
27-11-2025,tamil nadu,Madurai,625110,0,5,madurai,madurai
27-11-2025,tamil nadu,Madurai,625214,0,11,madurai,madurai
27-11-2025,tamil nadu,Madurai,625218,3,21,madurai,madurai
27-11-2025,tamil nadu,Madurai,625234,0,10,madurai,madurai
27-11-2025,tamil nadu,Madurai,625532,2,36,madurai,madurai
27-11-2025,tamil nadu,Madurai,625705,5,13,madurai,madurai
27-11-2025,tamil nadu,Salem,636003,5,16,salem,salem
27-11-2025,tamil nadu,Salem,636004,1,8,salem,salem
27-11-2025,tamil nadu,Salem,636008,3,42,salem,salem
27-11-2025,tamil nadu,Salem,636009,4,13,salem,salem
27-11-2025,tamil nadu,Salem,636013,0,6,salem,salem
27-11-2025,tamil nadu,Salem,636014,2,2,salem,salem
27-11-2025,tamil nadu,Salem,636112,1,17,salem,salem
27-11-2025,tamil nadu,Salem,636114,2,22,salem,salem
27-11-2025,tamil nadu,Salem,636115,4,22,salem,salem
27-11-2025,tamil nadu,Salem,636116,2,16,salem,salem
27-11-2025,tamil nadu,Salem,636121,1,11,salem,salem
27-11-2025,tamil nadu,Salem,636122,3,27,salem,salem
27-11-2025,tamil nadu,Salem,636140,1,9,salem,salem
27-11-2025,tamil nadu,Salem,636204,0,3,salem,salem
27-11-2025,tamil nadu,Salem,636302,2,15,salem,salem
27-11-2025,tamil nadu,Salem,636304,2,30,salem,salem
27-11-2025,tamil nadu,Salem,636307,4,12,salem,salem
27-11-2025,tamil nadu,Salem,636354,2,5,salem,salem
27-11-2025,tamil nadu,Salem,636403,0,4,salem,salem
27-11-2025,tamil nadu,Salem,636451,1,18,salem,salem
27-11-2025,tamil nadu,Salem,636455,3,10,salem,salem
27-11-2025,tamil nadu,Salem,636456,0,3,salem,salem
27-11-2025,tamil nadu,Salem,636503,5,4,salem,salem
27-11-2025,tamil nadu,Tiruchirappalli,620002,1,12,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,620003,0,10,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,620008,6,34,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,620009,3,9,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,620011,2,8,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,620012,3,15,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,620019,1,10,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,620026,0,4,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,621002,2,9,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,621008,0,12,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,621012,2,10,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,621208,3,11,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,621210,1,6,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,621214,3,11,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,621217,0,6,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,621653,1,1,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,621702,0,4,tiruchirappalli,tiruchirappalli
27-11-2025,tamil nadu,Tiruchirappalli,639112,1,1,tiruchirappalli,tiruchirappalli
26-11-2025,tamil nadu,Chennai,600008,1,1,chennai,chennai
26-11-2025,tamil nadu,Chennai,600015,6,21,chennai,chennai
26-11-2025,tamil nadu,Chennai,600016,0,2,chennai,chennai
26-11-2025,tamil nadu,Chennai,600023,5,28,chennai,chennai
26-11-2025,tamil nadu,Chennai,600026,2,9,chennai,chennai
26-11-2025,tamil nadu,Chennai,600028,3,16,chennai,chennai
26-11-2025,tamil nadu,Chennai,600031,0,5,chennai,chennai
26-11-2025,tamil nadu,Chennai,600061,0,13,chennai,chennai
26-11-2025,tamil nadu,Chennai,600081,3,42,chennai,chennai
26-11-2025,tamil nadu,Chennai,600091,1,20,chennai,chennai
26-11-2025,tamil nadu,Chennai,600095,1,14,chennai,chennai
26-11-2025,tamil nadu,Chennai,600096,0,7,chennai,chennai
26-11-2025,tamil nadu,Chennai,600099,1,23,chennai,chennai
26-11-2025,tamil nadu,Chennai,600103,1,1,chennai,chennai
26-11-2025,tamil nadu,Chennai,600112,2,11,chennai,chennai
26-11-2025,tamil nadu,Chennai,600114,0,1,chennai,chennai
26-11-2025,tamil nadu,Chennai,600126,0,3,chennai,chennai
26-11-2025,tamil nadu,Coimbatore,641016,3,15,coimbatore,coimbatore
26-11-2025,tamil nadu,Coimbatore,641017,4,10,coimbatore,coimbatore
26-11-2025,tamil nadu,Coimbatore,641018,1,2,coimbatore,coimbatore
26-11-2025,tamil nadu,Coimbatore,641019,0,8,coimbatore,coimbatore
26-11-2025,tamil nadu,Coimbatore,641023,1,13,coimbatore,coimbatore
26-11-2025,tamil nadu,Coimbatore,641024,0,2,coimbatore,coimbatore
26-11-2025,tamil nadu,Coimbatore,641027,1,13,coimbatore,coimbatore
26-11-2025,tamil nadu,Coimbatore,641041,0,22,coimbatore,coimbatore
26-11-2025,tamil nadu,Coimbatore,641042,0,6,coimbatore,coimbatore
26-11-2025,tamil nadu,Coimbatore,641045,1,19,coimbatore,coimbatore
26-11-2025,tamil nadu,Coimbatore,641103,0,3,coimbatore,coimbatore
