date,state,district,pincode,demo_age_5_17,demo_age_17_,district_norm,district_final
16-12-2025,uttar pradesh,Gorakhpur,273006,1,4,gorakhpur,gorakhpur
16-12-2025,uttar pradesh,Gorakhpur,273007,7,53,gorakhpur,gorakhpur
16-12-2025,uttar pradesh,Gorakhpur,273009,1,1,gorakhpur,gorakhpur
16-12-2025,uttar pradesh,Gorakhpur,273016,2,54,gorakhpur,gorakhpur
16-12-2025,uttar pradesh,Gorakhpur,273402,6,68,gorakhpur,gorakhpur
16-12-2025,uttar pradesh,Gorakhpur,273407,6,37,gorakhpur,gorakhpur
16-12-2025,uttar pradesh,Gorakhpur,273408,0,42,gorakhpur,gorakhpur
16-12-2025,uttar pradesh,Gorakhpur,273411,5,24,gorakhpur,gorakhpur
16-12-2025,uttar pradesh,Gorakhpur,273412,3,45,gorakhpur,gorakhpur
16-12-2025,uttar pradesh,Kanpur Nagar,208014,3,47,kanpur nagar,kanpur nagar
16-12-2025,uttar pradesh,Kanpur Nagar,208025,1,22,kanpur nagar,kanpur nagar
16-12-2025,uttar pradesh,Kanpur Nagar,209206,7,81,kanpur nagar,kanpur nagar
16-12-2025,uttar pradesh,Kanpur Nagar,209214,2,37,kanpur nagar,kanpur nagar
16-12-2025,uttar pradesh,Kanpur Nagar,209401,4,33,kanpur nagar,kanpur nagar
16-12-2025,uttar pradesh,Lucknow,226002,6,96,lucknow,lucknow
16-12-2025,uttar pradesh,Lucknow,226003,16,347,lucknow,lucknow
16-12-2025,uttar pradesh,Lucknow,226018,3,46,lucknow,lucknow
16-12-2025,uttar pradesh,Lucknow,226022,2,37,lucknow,lucknow
16-12-2025,uttar pradesh,Lucknow,226025,1,20,lucknow,lucknow
16-12-2025,uttar pradesh,Lucknow,226029,5,20,lucknow,lucknow
16-12-2025,uttar pradesh,Lucknow,226101,2,49,lucknow,lucknow
16-12-2025,uttar pradesh,Lucknow,227111,2,38,lucknow,lucknow
16-12-2025,uttar pradesh,Lucknow,227125,3,42,lucknow,lucknow
16-12-2025,uttar pradesh,Prayagraj,211001,0,7,prayagraj,prayagraj
16-12-2025,uttar pradesh,Prayagraj,211003,1,34,prayagraj,prayagraj
16-12-2025,uttar pradesh,Prayagraj,211004,0,3,prayagraj,prayagraj
16-12-2025,uttar pradesh,Prayagraj,211010,0,2,prayagraj,prayagraj
16-12-2025,uttar pradesh,Prayagraj,211012,3,10,prayagraj,prayagraj
16-12-2025,uttar pradesh,Prayagraj,211013,0,3,prayagraj,prayagraj
16-12-2025,uttar pradesh,Prayagraj,211016,1,18,prayagraj,prayagraj
16-12-2025,uttar pradesh,Prayagraj,212405,0,3,prayagraj,prayagraj
