date,state,district,pincode,age_0_5,age_5_17,age_18_greater,district_norm,district_final
27-03-2025,chhattisgarh,Raipur,492001,49,15,36,raipur,raipur
01-04-2025,chhattisgarh,Durg,491001,336,38,10,durg,durg
01-04-2025,chhattisgarh,Raipur,493225,299,12,11,raipur,raipur
01-07-2025,chhattisgarh,Raigarh,496116,420,99,10,raigarh,raigarh
01-07-2025,chhattisgarh,Durg,491001,385,94,16,durg,durg
01-07-2025,chhattisgarh,Bilaspur,495551,1156,309,11,bilaspur,bilaspur
01-07-2025,chhattisgarh,Raigarh,496001,898,82,13,raigarh,raigarh
01-09-2025,chhattisgarh,Bilaspur,495116,6,1,0,bilaspur,bilaspur
01-09-2025,chhattisgarh,Bilaspur,495119,5,1,0,bilaspur,bilaspur
01-09-2025,chhattisgarh,Bilaspur,495220,2,0,0,bilaspur,bilaspur
01-09-2025,chhattisgarh,Bilaspur,495330,2,1,0,bilaspur,bilaspur
01-09-2025,chhattisgarh,Bilaspur,495550,7,0,0,bilaspur,bilaspur
01-09-2025,chhattisgarh,Durg,490036,2,2,0,durg,durg
01-09-2025,chhattisgarh,Durg,491001,13,4,0,durg,durg
01-09-2025,chhattisgarh,Durg,491331,1,0,0,durg,durg
01-09-2025,chhattisgarh,Durg,491332,1,0,0,durg,durg
01-09-2025,chhattisgarh,Korba,495446,4,3,0,korba,korba
01-09-2025,chhattisgarh,Korba,495674,14,2,0,korba,korba
01-09-2025,chhattisgarh,Korba,495684,4,1,0,korba,korba
01-09-2025,chhattisgarh,Raigarh,496115,2,0,0,raigarh,raigarh
01-09-2025,chhattisgarh,Raigarh,496440,3,0,0,raigarh,raigarh
01-09-2025,chhattisgarh,Raipur,492004,1,0,0,raipur,raipur
01-09-2025,chhattisgarh,Raipur,492013,3,0,0,raipur,raipur
01-09-2025,chhattisgarh,Raipur,493661,7,1,0,raipur,raipur
01-09-2025,chhattisgarh,Raipur,493996,1,0,0,raipur,raipur
01-09-2025,chhattisgarh,Bilaspur,495113,7,0,0,bilaspur,bilaspur
01-09-2025,chhattisgarh,Bilaspur,495224,8,3,0,bilaspur,bilaspur
01-09-2025,chhattisgarh,Bilaspur,495449,3,1,0,bilaspur,bilaspur
01-09-2025,chhattisgarh,Durg,490001,4,0,0,durg,durg
01-09-2025,chhattisgarh,Durg,490020,2,0,0,durg,durg
01-09-2025,chhattisgarh,Korba,495445,12,1,0,korba,korba
01-09-2025,chhattisgarh,Raigarh,496107,4,1,0,raigarh,raigarh
01-09-2025,chhattisgarh,Raigarh,496111,3,2,0,raigarh,raigarh
01-09-2025,chhattisgarh,Raigarh,496445,1,0,0,raigarh,raigarh
01-09-2025,chhattisgarh,Raipur,492014,1,0,0,raipur,raipur
01-09-2025,chhattisgarh,Raipur,492099,2,1,0,raipur,raipur
01-09-2025,chhattisgarh,Raipur,493114,2,2,0,raipur,raipur
01-09-2025,chhattisgarh,Raipur,493116,1,0,0,raipur,raipur
01-09-2025,chhattisgarh,Raipur,493221,11,0,0,raipur,raipur
01-09-2025,chhattisgarh,Bilaspur,495004,8,1,0,bilaspur,bilaspur
