date,state,district,pincode,age_0_5,age_5_17,age_18_greater,district_norm,district_final
20-03-2025,maharashtra,Thane,421503,19,13,15,thane,thane
01-04-2025,maharashtra,Thane,421004,100,30,11,thane,thane
01-04-2025,maharashtra,Nagpur,440034,192,13,20,nagpur,nagpur
01-04-2025,maharashtra,Thane,401107,292,182,10,thane,thane
01-04-2025,maharashtra,Mumbai Suburban,400058,82,13,10,mumbai suburban,mumbai suburban
01-04-2025,maharashtra,Thane,400607,84,22,22,thane,thane
01-04-2025,maharashtra,Nagpur,440027,81,14,10,nagpur,nagpur
01-04-2025,maharashtra,Mumbai Suburban,400070,135,34,22,mumbai suburban,mumbai suburban
01-04-2025,maharashtra,Thane,421306,220,98,11,thane,thane
01-04-2025,maharashtra,Thane,400612,398,163,29,thane,thane
01-04-2025,maharashtra,Pune,410405,39,11,19,pune,pune
01-04-2025,maharashtra,Thane,421301,360,124,12,thane,thane
01-04-2025,maharashtra,Thane,421302,545,186,17,thane,thane
01-04-2025,maharashtra,Thane,421503,226,62,23,thane,thane
01-04-2025,maharashtra,Thane,421501,146,46,15,thane,thane
01-04-2025,maharashtra,Nagpur,440035,195,23,18,nagpur,nagpur
01-04-2025,maharashtra,Mumbai Suburban,400072,172,62,12,mumbai suburban,mumbai suburban
01-05-2025,maharashtra,Nagpur,440034,166,18,12,nagpur,nagpur
01-05-2025,maharashtra,Mumbai Suburban,400095,86,49,18,mumbai suburban,mumbai suburban
01-05-2025,maharashtra,Thane,400612,381,264,17,thane,thane
01-05-2025,maharashtra,Mumbai Suburban,400097,66,40,26,mumbai suburban,mumbai suburban
01-05-2025,maharashtra,Pune,410502,57,10,21,pune,pune
01-05-2025,maharashtra,Mumbai Suburban,400078,58,22,11,mumbai suburban,mumbai suburban
01-05-2025,maharashtra,Thane,401107,270,145,26,thane,thane
01-05-2025,maharashtra,Mumbai Suburban,400067,97,54,23,mumbai suburban,mumbai suburban
01-05-2025,maharashtra,Pune,411037,94,33,10,pune,pune
01-05-2025,maharashtra,Mumbai Suburban,400080,43,14,13,mumbai suburban,mumbai suburban
01-05-2025,maharashtra,Mumbai Suburban,400070,85,40,11,mumbai suburban,mumbai suburban
01-05-2025,maharashtra,Mumbai Suburban,400071,34,15,11,mumbai suburban,mumbai suburban
01-05-2025,maharashtra,Pune,410504,52,11,10,pune,pune
01-05-2025,maharashtra,Thane,421503,159,95,19,thane,thane
01-05-2025,maharashtra,Pune,413801,51,21,10,pune,pune
01-05-2025,maharashtra,Nashik,423401,97,14,45,nashik,nashik
01-05-2025,maharashtra,Thane,400601,80,30,14,thane,thane
01-05-2025,maharashtra,Pune,411006,74,22,10,pune,pune
01-05-2025,maharashtra,Mumbai Suburban,400064,43,12,14,mumbai suburban,mumbai suburban
01-05-2025,maharashtra,Mumbai Suburban,400043,183,117,24,mumbai suburban,mumbai suburban
