date,state,district,pincode,age_0_5,age_5_17,age_18_greater,district_norm,district_final
01-04-2025,rajasthan,Jodhpur,342301,210,101,12,jodhpur,jodhpur
01-04-2025,rajasthan,Jaipur,302012,781,198,21,jaipur,jaipur
01-04-2025,rajasthan,Jodhpur,342303,164,37,10,jodhpur,jodhpur
01-04-2025,rajasthan,Jaipur,302001,128,39,13,jaipur,jaipur
01-04-2025,rajasthan,Bikaner,334001,552,261,16,bikaner,bikaner
01-04-2025,rajasthan,Jaipur,303012,144,37,11,jaipur,jaipur
01-04-2025,rajasthan,Jaipur,302002,367,64,26,jaipur,jaipur
01-04-2025,rajasthan,Jodhpur,342306,219,90,13,jodhpur,jodhpur
01-04-2025,rajasthan,Jodhpur,342001,770,191,31,jodhpur,jodhpur
01-04-2025,rajasthan,Jaipur,302020,164,75,12,jaipur,jaipur
01-04-2025,rajasthan,Udaipur,307025,70,47,15,udaipur,udaipur
01-04-2025,rajasthan,Jaipur,302003,351,64,15,jaipur,jaipur
01-04-2025,rajasthan,Jodhpur,342311,147,81,10,jodhpur,jodhpur
01-04-2025,rajasthan,Jodhpur,342302,114,65,11,jodhpur,jodhpur
01-04-2025,rajasthan,Jaipur,302017,175,71,12,jaipur,jaipur
01-04-2025,rajasthan,Jaipur,302004,209,54,31,jaipur,jaipur
01-04-2025,rajasthan,Kota,325004,37,17,14,kota,kota
01-04-2025,rajasthan,Jaipur,302016,282,69,21,jaipur,jaipur
01-05-2025,rajasthan,Bikaner,334001,421,164,20,bikaner,bikaner
01-05-2025,rajasthan,Jodhpur,342001,595,190,15,jodhpur,jodhpur
01-05-2025,rajasthan,Jaipur,302013,120,70,10,jaipur,jaipur
01-06-2025,rajasthan,Bikaner,334001,511,287,20,bikaner,bikaner
01-06-2025,rajasthan,Jodhpur,342001,520,204,27,jodhpur,jodhpur
01-06-2025,rajasthan,Bikaner,331803,210,252,13,bikaner,bikaner
01-07-2025,rajasthan,Jodhpur,342301,391,346,10,jodhpur,jodhpur
01-07-2025,rajasthan,Jaipur,302012,840,338,11,jaipur,jaipur
01-07-2025,rajasthan,Jaipur,302017,260,141,22,jaipur,jaipur
01-07-2025,rajasthan,Jodhpur,342001,1292,457,46,jodhpur,jodhpur
01-07-2025,rajasthan,Jaipur,302004,281,131,18,jaipur,jaipur
01-07-2025,rajasthan,Jodhpur,342012,39,25,10,jodhpur,jodhpur
01-07-2025,rajasthan,Bikaner,334001,763,452,30,bikaner,bikaner
01-07-2025,rajasthan,Jaipur,302003,339,178,10,jaipur,jaipur
01-07-2025,rajasthan,Udaipur,313001,511,323,21,udaipur,udaipur
01-07-2025,rajasthan,Jaipur,302016,267,176,15,jaipur,jaipur
01-07-2025,rajasthan,Jaipur,302020,255,146,10,jaipur,jaipur
01-09-2025,rajasthan,Bikaner,331803,9,10,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334023,8,5,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334305,1,2,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334403,1,0,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334601,0,1,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334801,0,1,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334804,2,3,0,bikaner,bikaner
01-09-2025,rajasthan,Jaipur,302003,8,3,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302012,6,4,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302019,1,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302023,0,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302026,0,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302027,4,4,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302031,7,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303002,3,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303008,4,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303105,1,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303106,10,3,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303109,1,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303801,3,0,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303802,0,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jodhpur,342006,2,2,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342008,1,2,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342011,3,0,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342023,4,6,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342025,4,0,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342601,7,4,0,jodhpur,jodhpur
01-09-2025,rajasthan,Jodhpur,342606,1,2,0,jodhpur,jodhpur
01-09-2025,rajasthan,Kota,324002,6,0,0,kota,kota
01-09-2025,rajasthan,Kota,324004,4,1,0,kota,kota
01-09-2025,rajasthan,Kota,325001,4,2,0,kota,kota
01-09-2025,rajasthan,Kota,325009,5,6,0,kota,kota
01-09-2025,rajasthan,Udaipur,313015,0,1,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313025,0,1,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313031,9,6,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313205,1,3,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313602,1,2,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313604,9,7,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313702,10,6,0,udaipur,udaipur
01-09-2025,rajasthan,Udaipur,313803,5,2,0,udaipur,udaipur
01-09-2025,rajasthan,Bikaner,334001,13,9,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334021,0,3,0,bikaner,bikaner
01-09-2025,rajasthan,Bikaner,334201,4,1,0,bikaner,bikaner
01-09-2025,rajasthan,Jaipur,302001,1,2,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302004,3,5,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302018,3,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302033,3,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,302037,1,1,0,jaipur,jaipur
01-09-2025,rajasthan,Jaipur,303007,3,0,1,jaipur,jaipur
