date,state,district,pincode,age_0_5,age_5_17,age_18_greater,district_norm,district_final
01-04-2025,tamil nadu,Madurai,625017,94,10,11,madurai,madurai
01-05-2025,tamil nadu,Coimbatore,641402,59,19,11,coimbatore,coimbatore
01-06-2025,tamil nadu,Salem,636006,90,21,11,salem,salem
01-06-2025,tamil nadu,Salem,636122,40,10,12,salem,salem
01-06-2025,tamil nadu,Salem,636002,44,13,11,salem,salem
01-06-2025,tamil nadu,Salem,636010,82,24,11,salem,salem
01-06-2025,tamil nadu,Salem,636015,79,27,19,salem,salem
01-06-2025,tamil nadu,Madurai,625106,62,14,12,madurai,madurai
01-07-2025,tamil nadu,Chennai,600119,87,63,12,chennai,chennai
01-07-2025,tamil nadu,Chennai,600115,58,40,10,chennai,chennai
01-07-2025,tamil nadu,Chennai,600028,86,33,11,chennai,chennai
01-09-2025,tamil nadu,Chennai,600023,5,0,0,chennai,chennai
01-09-2025,tamil nadu,Chennai,600029,1,0,0,chennai,chennai
01-09-2025,tamil nadu,Chennai,600035,1,2,0,chennai,chennai
01-09-2025,tamil nadu,Chennai,600078,1,0,0,chennai,chennai
01-09-2025,tamil nadu,Chennai,600083,5,0,0,chennai,chennai
01-09-2025,tamil nadu,Chennai,600092,4,0,0,chennai,chennai
01-09-2025,tamil nadu,Chennai,600101,1,0,0,chennai,chennai
01-09-2025,tamil nadu,Chennai,600115,1,0,0,chennai,chennai
01-09-2025,tamil nadu,Coimbatore,641007,1,0,0,coimbatore,coimbatore
01-09-2025,tamil nadu,Coimbatore,641021,1,1,0,coimbatore,coimbatore
01-09-2025,tamil nadu,Coimbatore,641029,2,0,0,coimbatore,coimbatore
01-09-2025,tamil nadu,Coimbatore,641035,1,0,0,coimbatore,coimbatore
01-09-2025,tamil nadu,Coimbatore,641101,2,1,0,coimbatore,coimbatore
01-09-2025,tamil nadu,Coimbatore,641105,5,0,0,coimbatore,coimbatore
01-09-2025,tamil nadu,Coimbatore,642004,5,0,0,coimbatore,coimbatore
01-09-2025,tamil nadu,Coimbatore,642007,0,1,0,coimbatore,coimbatore
01-09-2025,tamil nadu,Coimbatore,642103,1,0,0,coimbatore,coimbatore
01-09-2025,tamil nadu,Coimbatore,642120,1,0,0,coimbatore,coimbatore
01-09-2025,tamil nadu,Madurai,625011,7,1,0,madurai,madurai
01-09-2025,tamil nadu,Madurai,625014,1,2,0,madurai,madurai
01-09-2025,tamil nadu,Madurai,625105,0,1,0,madurai,madurai
01-09-2025,tamil nadu,Madurai,625109,1,0,0,madurai,madurai
01-09-2025,tamil nadu,Madurai,625503,1,0,0,madurai,madurai
01-09-2025,tamil nadu,Madurai,625702,2,1,0,madurai,madurai
01-09-2025,tamil nadu,Madurai,625703,3,0,0,madurai,madurai
01-09-2025,tamil nadu,Madurai,625704,2,1,0,madurai,madurai
01-09-2025,tamil nadu,Madurai,625707,1,0,0,madurai,madurai
01-09-2025,tamil nadu,Salem,636001,1,1,0,salem,salem
01-09-2025,tamil nadu,Salem,636002,3,1,0,salem,salem
01-09-2025,tamil nadu,Salem,636014,1,0,0,salem,salem
01-09-2025,tamil nadu,Salem,636105,8,1,0,salem,salem
01-09-2025,tamil nadu,Salem,636119,3,0,0,salem,salem
