date,state,district,pincode,age_0_5,age_5_17,age_18_greater,district_norm,district_final
09-03-2025,uttar pradesh,Kanpur Nagar,208001,29,82,12,kanpur nagar,kanpur nagar
09-03-2025,uttar pradesh,Lucknow,226003,23,102,17,lucknow,lucknow
27-03-2025,uttar pradesh,Kanpur Nagar,208001,18,56,11,kanpur nagar,kanpur nagar
27-03-2025,uttar pradesh,Gorakhpur,273001,13,36,11,gorakhpur,gorakhpur
01-04-2025,uttar pradesh,Lucknow,226005,83,92,23,lucknow,lucknow
01-04-2025,uttar pradesh,Kanpur Nagar,208004,73,44,16,kanpur nagar,kanpur nagar
01-04-2025,uttar pradesh,Kanpur Nagar,208003,41,27,10,kanpur nagar,kanpur nagar
01-04-2025,uttar pradesh,Kanpur Nagar,208007,72,96,23,kanpur nagar,kanpur nagar
01-04-2025,uttar pradesh,Varanasi,221011,52,81,30,varanasi,varanasi
01-04-2025,uttar pradesh,Lucknow,226021,165,114,11,lucknow,lucknow
01-04-2025,uttar pradesh,Kanpur Nagar,209402,69,61,20,kanpur nagar,kanpur nagar
01-04-2025,uttar pradesh,Lucknow,226016,161,185,15,lucknow,lucknow
01-04-2025,uttar pradesh,Gorakhpur,273001,68,180,23,gorakhpur,gorakhpur
01-04-2025,uttar pradesh,Varanasi,221002,147,175,10,varanasi,varanasi
01-04-2025,uttar pradesh,Kanpur Nagar,209401,43,70,23,kanpur nagar,kanpur nagar
01-04-2025,uttar pradesh,Gorakhpur,273015,102,188,10,gorakhpur,gorakhpur
01-04-2025,uttar pradesh,Kanpur Nagar,208021,174,169,11,kanpur nagar,kanpur nagar
01-04-2025,uttar pradesh,Lucknow,226020,180,174,12,lucknow,lucknow
01-04-2025,uttar pradesh,Lucknow,226003,297,270,27,lucknow,lucknow
01-04-2025,uttar pradesh,Gorakhpur,273007,77,114,12,gorakhpur,gorakhpur
01-04-2025,uttar pradesh,Gorakhpur,273008,61,93,24,gorakhpur,gorakhpur
01-04-2025,uttar pradesh,Lucknow,226017,169,209,11,lucknow,lucknow
01-04-2025,uttar pradesh,Kanpur Nagar,208011,121,121,10,kanpur nagar,kanpur nagar
01-04-2025,uttar pradesh,Kanpur Nagar,208002,73,65,10,kanpur nagar,kanpur nagar
01-04-2025,uttar pradesh,Kanpur Nagar,209214,93,131,17,kanpur nagar,kanpur nagar
01-04-2025,uttar pradesh,Lucknow,226010,129,147,14,lucknow,lucknow
01-04-2025,uttar pradesh,Kanpur Nagar,208001,438,332,62,kanpur nagar,kanpur nagar
01-04-2025,uttar pradesh,Lucknow,226018,51,62,12,lucknow,lucknow
01-04-2025,uttar pradesh,Kanpur Nagar,208020,72,74,10,kanpur nagar,kanpur nagar
01-04-2025,uttar pradesh,Varanasi,221001,328,477,41,varanasi,varanasi
01-04-2025,uttar pradesh,Gorakhpur,273016,70,152,17,gorakhpur,gorakhpur
01-04-2025,uttar pradesh,Kanpur Nagar,208027,136,173,10,kanpur nagar,kanpur nagar
01-05-2025,uttar pradesh,Kanpur Nagar,208010,149,93,11,kanpur nagar,kanpur nagar
01-05-2025,uttar pradesh,Kanpur Nagar,209210,116,85,12,kanpur nagar,kanpur nagar
01-05-2025,uttar pradesh,Kanpur Nagar,208001,471,485,23,kanpur nagar,kanpur nagar
01-05-2025,uttar pradesh,Lucknow,226003,447,375,23,lucknow,lucknow
01-05-2025,uttar pradesh,Kanpur Nagar,208027,99,191,11,kanpur nagar,kanpur nagar
01-05-2025,uttar pradesh,Lucknow,226005,71,99,12,lucknow,lucknow
01-05-2025,uttar pradesh,Prayagraj,211003,23,45,19,prayagraj,prayagraj
01-05-2025,uttar pradesh,Lucknow,226008,90,86,13,lucknow,lucknow
01-05-2025,uttar pradesh,Varanasi,221107,176,198,10,varanasi,varanasi
01-05-2025,uttar pradesh,Gorakhpur,273008,34,105,19,gorakhpur,gorakhpur
01-05-2025,uttar pradesh,Gorakhpur,273001,95,247,22,gorakhpur,gorakhpur
01-05-2025,uttar pradesh,Varanasi,221001,398,651,13,varanasi,varanasi
01-06-2025,uttar pradesh,Gorakhpur,273015,82,223,10,gorakhpur,gorakhpur
01-06-2025,uttar pradesh,Varanasi,221001,297,602,15,varanasi,varanasi
01-06-2025,uttar pradesh,Lucknow,226005,81,123,19,lucknow,lucknow
01-06-2025,uttar pradesh,Kanpur Nagar,208001,307,526,23,kanpur nagar,kanpur nagar
01-06-2025,uttar pradesh,Gorakhpur,273001,86,230,17,gorakhpur,gorakhpur
01-06-2025,uttar pradesh,Gorakhpur,273008,45,119,14,gorakhpur,gorakhpur
01-06-2025,uttar pradesh,Kanpur Nagar,209402,40,71,16,kanpur nagar,kanpur nagar
01-07-2025,uttar pradesh,Lucknow,226003,592,532,18,lucknow,lucknow
01-07-2025,uttar pradesh,Varanasi,221107,177,325,22,varanasi,varanasi
01-07-2025,uttar pradesh,Lucknow,226018,109,92,14,lucknow,lucknow
01-07-2025,uttar pradesh,Kanpur Nagar,208002,132,162,13,kanpur nagar,kanpur nagar
01-07-2025,uttar pradesh,Lucknow,226001,212,199,13,lucknow,lucknow
01-07-2025,uttar pradesh,Gorakhpur,273001,145,341,34,gorakhpur,gorakhpur
01-07-2025,uttar pradesh,Kanpur Nagar,209402,83,196,12,kanpur nagar,kanpur nagar
01-07-2025,uttar pradesh,Varanasi,221007,435,434,12,varanasi,varanasi
01-07-2025,uttar pradesh,Prayagraj,221505,274,222,10,prayagraj,prayagraj
01-07-2025,uttar pradesh,Prayagraj,211003,229,318,13,prayagraj,prayagraj
01-07-2025,uttar pradesh,Varanasi,221112,69,83,10,varanasi,varanasi
